BSSID,Epoch,Temperature
EC:DA:3B:0F:5C:AC,1681683676,20.5306
master,1681683676,20.1969
48:27:E2:AD:85:D0,1681683677,20.0736
48:27:E2:AD:91:38,1681683677,17.6923
EC:DA:3B:0F:5C:AC,1681683677,20.5306
master,1681683677,20.0615
48:27:E2:AD:85:D0,1681683678,20.1421
48:27:E2:AD:91:38,1681683678,17.6923
EC:DA:3B:0F:5C:AC,1681683678,20.4604
master,1681683678,19.9938
48:27:E2:AD:85:D0,1681683679,20.1421
48:27:E2:AD:91:38,1681683679,16.7253
EC:DA:3B:0F:5C:AC,1681683679,20.1800
master,1681683679,20.2646
48:27:E2:AD:85:D0,1681683680,20.1421
48:27:E2:AD:91:38,1681683680,17.4989
EC:DA:3B:0F:5C:AC,1681683680,20.3202
master,1681683680,20.1969
48:27:E2:AD:85:D0,1681683681,20.0736
48:27:E2:AD:91:38,1681683681,16.9187
EC:DA:3B:0F:5C:AC,1681683681,20.4604
master,1681683681,20.3323
48:27:E2:AD:85:D0,1681683682,20.0736
48:27:E2:AD:91:38,1681683682,17.0476
EC:DA:3B:0F:5C:AC,1681683682,20.6007
master,1681683682,20.3323
48:27:E2:AD:85:D0,1681683683,20.6901
48:27:E2:AD:91:38,1681683683,17.0476
EC:DA:3B:0F:5C:AC,1681683683,20.4604
master,1681683683,20.4000
48:27:E2:AD:85:D0,1681683684,20.0736
48:27:E2:AD:91:38,1681683684,17.5634
EC:DA:3B:0F:5C:AC,1681683684,20.3903
master,1681683684,20.1969
48:27:E2:AD:85:D0,1681683685,20.1421
48:27:E2:AD:91:38,1681683685,16.9832
EC:DA:3B:0F:5C:AC,1681683685,20.3903
master,1681683685,20.2646
48:27:E2:AD:85:D0,1681683686,20.6901
48:27:E2:AD:91:38,1681683686,16.9832
EC:DA:3B:0F:5C:AC,1681683686,20.5306
master,1681683686,20.1292
48:27:E2:AD:85:D0,1681683687,20.0736
48:27:E2:AD:91:38,1681683687,17.6278
EC:DA:3B:0F:5C:AC,1681683687,20.4604
master,1681683687,20.1969
48:27:E2:AD:85:D0,1681683688,20.1421
48:27:E2:AD:91:38,1681683688,17.5634
EC:DA:3B:0F:5C:AC,1681683688,20.3202
